,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Atari,11.38,47.15,76.01,81.84,82.11,82.56,83.22,85.2,85.95,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001
Nintendo,0.0,0.0,0.0,10.96,61.05000000000001,114.51000000000002,150.92000000000002,170.68,217.12,289.95000000000005,336.74000000000007,364.63000000000005,425.07000000000005,468.69000000000005,516.0500000000001,551.86,637.9200000000001,684.7900000000001,761.19,857.4200000000001,911.2500000000001,1011.6700000000001,1138.06,1245.4499999999998,1369.8899999999999,1562.99,1838.69,2146.7200000000003,2468.77,2801.2,3020.98,3173.72,3277.1099999999997,3366.1499999999996,3436.2599999999998,3481.18,3491.0699999999997,3491.0699999999997,3491.3599999999997
PC,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.06,0.06,0.06,0.06,3.0799999999999996,3.0799999999999996,15.93,20.16,30.75,42.01,45.29,50.04,54.72,60.23,68.83,77.78999999999999,88.24999999999999,92.71999999999998,95.68999999999998,105.08999999999997,117.75999999999996,134.91999999999996,159.37999999999994,194.62999999999994,218.15999999999994,230.98999999999992,244.3799999999999,252.4499999999999,255.0499999999999,255.0499999999999,255.0499999999999
SEGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,6.9399999999999995,19.64,21.79,33.910000000000004,45.49,53.18,59.95,67.16,72.42,78.41,79.47999999999999,79.77,79.77,79.77,79.77,79.77,79.78999999999999,79.83,79.83,79.83,79.83,79.83,79.83,79.83,79.83,79.83,79.83,79.83
NEOGEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21000000000000002,1.01,1.34,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002
Playstation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.020000000000001,41.94000000000001,136.62000000000003,272.70000000000005,442.2800000000001,586.8500000000001,722.2400000000001,924.1900000000002,1136.2799999999997,1322.62,1541.5299999999997,1746.4099999999994,1926.7499999999995,2124.039999999999,2332.2399999999993,2529.099999999999,2714.2599999999993,2897.1399999999994,3032.8799999999997,3190.91,3355.61,3496.35,3541.59,3541.6400000000003,3541.6400000000003
Panasonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.19,0.19,0.19,0.65,1.33,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61
Microsoft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,23.22999999999999,71.38000000000001,126.54000000000005,192.04000000000008,249.53000000000006,311.56000000000006,407.95000000000005,543.8900000000001,664.7400000000001,835.7900000000001,980.91,1081.79,1190.0,1278.85,1349.56,1362.76,1362.76,1362.76
